Rank,Release Group,Worldwide,Domestic,%,Foreign,%
160,Little Vera,"$1,262,598","$1,262,598",100%,-,-
161,Queen of Hearts,"$1,236,844","$1,236,844",100%,-,-
162,High Hopes,"$1,192,322","$1,192,322",100%,-,-
163,Murmur of the Heart,"$1,160,784","$1,160,784",100%,-,-
164,Miracle Mile,"$1,145,404","$1,145,404",100%,-,-
165,Valmont,"$1,132,112","$1,132,112",100%,-,-
166,Heathers,"$1,108,462","$1,108,462",100%,-,-
167,Heart of Dixie,"$1,097,333","$1,097,333",100%,-,-
168,Wired,"$1,089,000","$1,089,000",100%,-,-
169,The Music Teacher,"$1,086,894","$1,086,894",100%,-,-
170,Welcome Home,"$1,029,822","$1,029,822",100%,-,-
171,Pumpkinhead 1989 Re-release,"$1,000,000","$1,000,000",100%,-,-
172,Getting It Right,"$960,385","$960,385",100%,-,-
173,American Ninja 3: Blood Hunt,"$902,152","$902,152",100%,-,-
174,Parents,"$870,532","$870,532",100%,-,-
175,Crack House,"$862,551","$862,551",100%,-,-
176,The Terror Within,"$858,591","$858,591",100%,-,-
177,Little Monsters,"$793,775","$793,775",100%,-,-
178,The Toxic Avenger Part II,"$792,966","$792,966",100%,-,-
179,For All Mankind,"$770,132","$770,132",100%,-,-
180,The Girl in a Swing,"$747,013","$747,013",100%,-,-
181,Vampire's Kiss,"$725,131","$725,131",100%,-,-
182,"Distant Voices, Still Lives","$688,329","$688,329",100%,-,-
183,Wuthering Heights,"$624,643","$624,643",100%,-,-
184,The Wizard of Oz 1989 Re-release,"$612,300","$612,300",100%,-,-
185,Eddie and the Cruisers II: Eddie Lives!,"$536,508","$536,508",100%,-,-
186,"Thelonious Monk: Straight, No Chaser","$518,918","$518,918",100%,-,-
187,Slaves of New York,"$463,972","$463,972",100%,-,-
188,The Rainbow,"$444,055","$444,055",100%,-,-
189,Akira,"$439,162","$439,162",100%,-,-
190,How to Get Ahead in Advertising,"$418,053","$418,053",100%,-,-
191,Triumph of the Spirit,"$408,839","$408,839",100%,-,-
192,The Toxic Avenger Part III: The Last Temptation of Toxie,"$363,561","$363,561",100%,-,-
193,Night Game,"$337,812","$337,812",100%,-,-
194,Crusoe,"$315,421","$315,421",100%,-,-
195,Out Cold,"$294,266","$294,266",100%,-,-
196,Powwow Highway,"$283,747","$283,747",100%,-,-
197,Kill Me Again,"$283,694","$283,694",100%,-,-
198,Heavy Petting,"$272,371","$272,371",100%,-,-
199,Paperhouse,"$241,278","$241,278",100%,-,-
200,Weapons of the Spirit,"$232,981","$232,981",100%,-,-
201,A Chorus of Disapproval,"$216,373","$216,373",100%,-,-
202,The Rachel Papers,"$201,468","$201,468",100%,-,-
203,The Return of Swamp Thing,"$192,816","$192,816",100%,-,-
204,Beverly Hills Brats,"$192,561","$192,561",100%,-,-
205,For Queen & Country,"$191,051","$191,051",100%,-,-
206,The Experts,"$169,203","$169,203",100%,-,-
207,Night Visitor,"$166,635","$166,635",100%,-,-
208,Under the Boardwalk,"$147,542","$147,542",100%,-,-
209,The Big Picture,"$117,463","$117,463",100%,-,-
210,Race for Glory,"$100,326","$100,326",100%,-,-
211,Signs of Life,"$95,836","$95,836",100%,-,-
212,Mind Games,"$85,085","$85,085",100%,-,-
213,Hanussen,"$82,635","$82,635",100%,-,-
214,Me and Him,"$78,814","$78,814",100%,-,-
215,After Midnight,"$76,325","$76,325",100%,-,-
216,"Bert Rigby, You're a Fool","$75,868","$75,868",100%,-,-
217,When the Whales Came,"$73,131","$73,131",100%,-,-
218,Manifesto,"$70,060","$70,060",100%,-,-
219,Under the Sun of Satan,"$68,765","$68,765",100%,-,-
220,Cohen and Tate,"$64,227","$64,227",100%,-,-
221,Survival Quest,"$62,683","$62,683",100%,-,-
222,Rachel River,"$60,698","$60,698",100%,-,-
223,Ten Little Indians,"$59,405","$59,405",100%,-,-
224,"Fear, Anxiety & Depression","$47,148","$47,148",100%,-,-
225,Bloodhounds of Broadway,"$43,671","$43,671",100%,-,-
226,Animal Behavior,"$41,526","$41,526",100%,-,-
227,New Year's Day,"$36,106","$36,106",100%,-,-
228,Checking Out,"$30,877","$30,877",100%,-,-
229,Teen Witch,"$27,843","$27,843",100%,-,-
230,Echoes of Paradise,"$23,717","$23,717",100%,-,-
231,Blood Red,"$15,510","$15,510",100%,-,-
232,The Time Guardian,"$12,682","$12,682",100%,-,-
233,Far from Home,"$11,859","$11,859",100%,-,-
234,High Stakes,"$4,780","$4,780",100%,-,-
235,Hit List,"$4,564","$4,564",100%,-,-
236,Catch Me If You Can,"$3,686","$3,686",100%,-,-
